week,category,sku_count,brand_count,weekly_sales,promo_active,normal_price,promo_price
2,Biskuit,37,27,380,0,9999,14999
2,Sirup,29,11,824,0,14999,14999
2,Soda,53,7,598,0,14999,24999
2,Cokelat,67,21,487,0,9999,9999
2,Roti,64,15,316,0,19999,14999
2,Sereal,107,11,945,1,19999,8674
2,Mie Instan,186,8,737,0,19999,5999
2,Kopi Bubuk,165,9,399,0,14999,9999
2,Sarden Kaleng,86,5,238,1,24999,16117
2,Jus Kemasan,109,15,283,1,5999,21912
2,Buah Kering,172,21,542,0,19999,5999
2,Beras,134,19,264,1,24999,4969
2,Teh,184,23,593,0,9999,19999
2,Pasta,152,25,794,0,9999,5999
2,Mayones,180,13,599,0,24999,24999
2,Kecap,165,8,211,0,9999,14999
2,Penyedap Rasa,79,3,119,0,19999,5999
2,Saos,194,20,454,0,24999,14999
2,Garam,139,10,323,0,19999,5999
2,Gula,168,13,624,0,24999,24999
2,Kaldu Jamur,98,11,311,0,5999,14999
2,Selai,186,22,427,0,19999,5999
2,Permen,179,18,444,0,9999,24999
2,Gulali,65,5,275,1,5999,5392
2,Makaroni,162,8,586,0,24999,24999
2,Marshmallow,132,10,417,1,14999,19640
2,Kuaci,73,3,232,1,24999,13440
2,Yogurt,195,8,351,0,14999,5999
2,Keju,168,12,727,0,5999,9999
2,Nugget,175,13,796,0,19999,9999
2,Air Mineral,195,8,844,0,14999,9999
2,Minuman Isotonik,164,17,614,0,24999,5999
2,Keripik,172,20,817,0,9999,24999
2,Susu Kemasan,154,12,570,0,5999,24999
2,Kopi Kemasan,189,11,342,0,19999,5999
2,Kacang,165,10,501,0,14999,19999
2,Buah-Buahan,179,13,674,1,5999,16314
2,Sayur-Sayuran,196,11,248,0,19999,9999
2,Ice Cream,174,16,471,0,14999,24999
2,Kornet,136,9,593,0,24999,9999
2,Daging Segar,184,8,884,1,14999,10880
2,Minyak Goreng,179,13,575,0,5999,24999
2,Kentang Goreng,163,7,335,0,19999,24999
2,Telur,193,9,404,0,9999,19999
2,Seafood Segar,136,18,538,0,14999,9999
2,Mentega,120,15,373,1,24999,11816
2,Krim,42,10,246,0,24999,24999
2,Bihun,113,13,511,0,19999,9999
3,Susu Bubuk,86,14,548,0,24999,9999
3,Biskuit,37,27,354,0,9999,24999
3,Sirup,29,11,811,0,14999,24999
3,Soda,53,7,727,0,14999,14999
3,Cokelat,67,21,438,0,9999,14999
3,Roti,64,15,404,0,19999,24999
3,Sereal,107,11,1177,0,19999,5999
3,Mie Instan,186,8,726,0,19999,24999
3,Kopi Bubuk,165,9,380,1,14999,15497
3,Sarden Kaleng,86,5,303,1,24999,20918
3,Jus Kemasan,109,15,291,0,5999,9999
3,Buah Kering,172,21,461,1,19999,15551
3,Beras,134,19,303,0,24999,5999
3,Teh,184,23,607,0,9999,5999
3,Pasta,152,25,667,1,9999,7412
3,Mayones,180,13,618,0,24999,24999
3,Kecap,165,8,267,0,9999,14999
3,Penyedap Rasa,79,3,120,0,19999,9999
3,Saos,194,20,454,0,24999,9999
3,Garam,139,10,251,0,19999,9999
3,Gula,168,13,473,0,24999,24999
3,Kaldu Jamur,98,11,366,1,5999,14709
3,Selai,186,22,383,1,19999,13470
3,Permen,179,18,305,1,9999,18692
3,Gulali,65,5,258,0,5999,5999
3,Makaroni,162,8,491,0,24999,19999
3,Marshmallow,132,10,409,1,14999,21976
3,Kuaci,73,3,234,1,24999,11978
3,Yogurt,195,8,331,0,14999,24999
3,Keju,168,12,596,0,5999,19999
3,Nugget,175,13,814,1,19999,4335
3,Air Mineral,195,8,1077,1,14999,16751
3,Minuman Isotonik,164,17,701,1,24999,4320
3,Keripik,172,20,831,0,9999,9999
3,Susu Kemasan,154,12,587,1,5999,7161
3,Kopi Kemasan,189,11,334,1,19999,4909
3,Kacang,165,10,380,0,14999,19999
3,Buah-Buahan,179,13,656,1,5999,11260
3,Sayur-Sayuran,196,11,289,0,19999,9999
3,Ice Cream,174,16,500,1,14999,5016
3,Kornet,136,9,500,0,24999,5999
3,Daging Segar,184,8,700,1,14999,22315
3,Minyak Goreng,179,13,580,0,5999,24999
3,Kentang Goreng,163,7,349,0,19999,14999
3,Telur,193,9,570,0,9999,5999
3,Seafood Segar,136,18,702,0,14999,5999
3,Mentega,120,15,362,0,24999,14999
3,Krim,42,10,229,0,24999,9999
3,Bihun,113,13,474,0,19999,9999
4,Susu Bubuk,86,14,535,0,24999,24999
4,Biskuit,37,27,292,1,9999,12593
4,Sirup,29,11,810,1,14999,15083
4,Soda,53,7,670,0,14999,14999
4,Cokelat,67,21,515,0,9999,9999
4,Roti,64,15,338,0,19999,24999
4,Sereal,107,11,944,1,19999,4651
4,Mie Instan,186,8,786,1,19999,5363
4,Kopi Bubuk,165,9,388,0,14999,14999
4,Sarden Kaleng,86,5,246,0,24999,24999
4,Jus Kemasan,109,15,290,1,5999,21284
4,Buah Kering,172,21,428,0,19999,24999
4,Beras,134,19,285,1,24999,18535
4,Teh,184,23,599,1,9999,7715
4,Pasta,152,25,677,0,9999,14999
4,Mayones,180,13,627,0,24999,19999
4,Kecap,165,8,298,0,9999,24999
4,Penyedap Rasa,79,3,140,0,19999,9999
4,Saos,194,20,458,0,24999,9999
4,Garam,139,10,311,0,19999,14999
4,Gula,168,13,456,0,24999,5999
4,Kaldu Jamur,98,11,459,1,5999,15191
4,Selai,186,22,477,1,19999,8852
4,Permen,179,18,294,0,9999,19999
4,Gulali,65,5,309,0,5999,14999
4,Makaroni,162,8,444,0,24999,14999
4,Marshmallow,132,10,477,0,14999,14999
4,Kuaci,73,3,225,0,24999,19999
4,Yogurt,195,8,329,1,14999,12044
4,Keju,168,12,623,1,5999,18460
4,Nugget,175,13,744,0,19999,5999
4,Air Mineral,195,8,871,0,14999,19999
4,Minuman Isotonik,164,17,602,0,24999,24999
4,Keripik,172,20,921,0,9999,9999
4,Susu Kemasan,154,12,769,0,5999,14999
4,Kopi Kemasan,189,11,395,1,19999,17512
4,Kacang,165,10,479,0,14999,9999
4,Buah-Buahan,179,13,599,1,5999,8494
4,Sayur-Sayuran,196,11,275,0,19999,19999
4,Ice Cream,174,16,410,0,14999,9999
4,Kornet,136,9,487,0,24999,24999
4,Daging Segar,184,8,645,0,14999,5999
4,Minyak Goreng,179,13,579,0,5999,5999
4,Kentang Goreng,163,7,338,0,19999,14999
4,Telur,193,9,566,0,9999,9999
4,Seafood Segar,136,18,539,0,14999,5999
4,Mentega,120,15,406,0,24999,19999
4,Krim,42,10,208,0,24999,9999
4,Bihun,113,13,459,0,19999,5999
5,Susu Bubuk,86,14,541,0,24999,24999
5,Biskuit,37,27,339,0,9999,14999
5,Sirup,29,11,785,0,14999,5999
5,Soda,53,7,572,0,14999,19999
5,Cokelat,67,21,448,1,9999,8151
5,Roti,64,15,356,1,19999,5061
5,Sereal,107,11,1062,0,19999,9999
5,Mie Instan,186,8,706,0,19999,19999
5,Kopi Bubuk,165,9,386,0,14999,5999
5,Sarden Kaleng,86,5,288,1,24999,20029
5,Jus Kemasan,109,15,284,1,5999,20162
5,Buah Kering,172,21,460,0,19999,9999
5,Beras,134,19,359,1,24999,20922
5,Teh,184,23,544,1,9999,5220
5,Pasta,152,25,744,1,9999,7247
5,Mayones,180,13,670,0,24999,14999
5,Kecap,165,8,246,1,9999,17366
5,Penyedap Rasa,79,3,132,0,19999,14999
5,Saos,194,20,485,0,24999,24999
5,Garam,139,10,264,1,19999,5251
5,Gula,168,13,511,0,24999,14999
5,Kaldu Jamur,98,11,471,0,5999,5999
5,Selai,186,22,499,0,19999,5999
5,Permen,179,18,266,0,9999,14999
5,Gulali,65,5,235,0,5999,14999
5,Makaroni,162,8,632,0,24999,24999
5,Marshmallow,132,10,377,0,14999,14999
5,Kuaci,73,3,247,0,24999,24999
5,Yogurt,195,8,424,1,14999,4239
5,Keju,168,12,706,1,5999,4322
5,Nugget,175,13,967,0,19999,19999
5,Air Mineral,195,8,836,0,14999,24999
5,Minuman Isotonik,164,17,751,0,24999,19999
5,Keripik,172,20,961,0,9999,14999
5,Susu Kemasan,154,12,633,0,5999,9999
5,Kopi Kemasan,189,11,340,0,19999,9999
5,Kacang,165,10,486,0,14999,9999
5,Buah-Buahan,179,13,716,0,5999,19999
5,Sayur-Sayuran,196,11,314,0,19999,19999
5,Ice Cream,174,16,492,1,14999,8541
5,Kornet,136,9,678,0,24999,5999
5,Daging Segar,184,8,725,1,14999,11851
5,Minyak Goreng,179,13,545,0,5999,24999
5,Kentang Goreng,163,7,334,1,19999,5243
5,Telur,193,9,529,0,9999,24999
5,Seafood Segar,136,18,628,0,14999,5999
5,Mentega,120,15,359,0,24999,5999
5,Krim,42,10,189,1,24999,7930
5,Bihun,113,13,466,0,19999,14999
6,Susu Bubuk,86,14,552,0,24999,14999
6,Biskuit,37,27,264,0,9999,5999
6,Sirup,29,11,777,1,14999,5135
6,Soda,53,7,607,0,14999,9999
6,Cokelat,67,21,399,0,9999,24999
6,Roti,64,15,311,0,19999,5999
6,Sereal,107,11,815,0,19999,14999
6,Mie Instan,186,8,655,0,19999,24999
6,Kopi Bubuk,165,9,433,1,14999,10696
6,Sarden Kaleng,86,5,194,1,24999,8047
6,Jus Kemasan,109,15,253,0,5999,19999
6,Buah Kering,172,21,485,0,19999,24999
6,Beras,134,19,284,0,24999,14999
6,Teh,184,23,650,0,9999,19999
6,Pasta,152,25,572,0,9999,14999
6,Mayones,180,13,630,0,24999,5999
6,Kecap,165,8,249,0,9999,9999
6,Penyedap Rasa,79,3,114,1,19999,13387
6,Saos,194,20,414,0,24999,9999
6,Garam,139,10,253,0,19999,24999
6,Gula,168,13,562,1,24999,19208
6,Kaldu Jamur,98,11,373,0,5999,9999
6,Selai,186,22,462,1,19999,19546
6,Permen,179,18,335,0,9999,9999
6,Gulali,65,5,289,1,5999,14559
6,Makaroni,162,8,548,1,24999,13182
6,Marshmallow,132,10,450,0,14999,5999
6,Kuaci,73,3,205,0,24999,24999
6,Yogurt,195,8,351,0,14999,19999
6,Keju,168,12,642,0,5999,24999
6,Nugget,175,13,727,0,19999,9999
6,Air Mineral,195,8,772,0,14999,9999
6,Minuman Isotonik,164,17,722,0,24999,5999
6,Keripik,172,20,898,0,9999,19999
6,Susu Kemasan,154,12,754,0,5999,5999
6,Kopi Kemasan,189,11,382,0,19999,9999
6,Kacang,165,10,516,0,14999,9999
6,Buah-Buahan,179,13,596,0,5999,9999
6,Sayur-Sayuran,196,11,247,0,19999,19999
6,Ice Cream,174,16,422,1,14999,19445
6,Kornet,136,9,505,1,24999,13347
6,Daging Segar,184,8,630,0,14999,24999
6,Minyak Goreng,179,13,560,0,5999,14999
6,Kentang Goreng,163,7,362,0,19999,14999
6,Telur,193,9,416,0,9999,5999
6,Seafood Segar,136,18,786,0,14999,5999
6,Mentega,120,15,341,0,24999,5999
6,Krim,42,10,202,0,24999,14999
6,Bihun,113,13,512,1,19999,4363
7,Susu Bubuk,86,14,627,1,24999,4421
7,Biskuit,37,27,366,1,9999,21294
7,Sirup,29,11,887,1,14999,5283
7,Soda,53,7,688,0,14999,9999
7,Cokelat,67,21,392,0,9999,9999
7,Roti,64,15,429,0,19999,24999
7,Sereal,107,11,1081,1,19999,13272
7,Mie Instan,186,8,758,1,19999,8044
7,Kopi Bubuk,165,9,345,0,14999,14999
7,Sarden Kaleng,86,5,313,1,24999,11518
7,Jus Kemasan,109,15,294,1,5999,16288
7,Buah Kering,172,21,546,0,19999,24999
7,Beras,134,19,250,0,24999,24999
7,Teh,184,23,613,0,9999,9999
7,Pasta,152,25,784,1,9999,13123
7,Mayones,180,13,668,1,24999,14210
7,Kecap,165,8,299,0,9999,24999
7,Penyedap Rasa,79,3,129,0,19999,5999
7,Saos,194,20,535,1,24999,4602
7,Garam,139,10,309,0,19999,24999
7,Gula,168,13,430,0,24999,9999
7,Kaldu Jamur,98,11,356,0,5999,5999
7,Selai,186,22,422,1,19999,4330
7,Permen,179,18,338,1,9999,21430
7,Gulali,65,5,273,0,5999,14999
7,Makaroni,162,8,571,0,24999,24999
7,Marshmallow,132,10,391,0,14999,24999
7,Kuaci,73,3,226,0,24999,9999
7,Yogurt,195,8,355,1,14999,17788
7,Keju,168,12,599,1,5999,4383
7,Nugget,175,13,974,1,19999,18618
7,Air Mineral,195,8,1009,0,14999,9999
7,Minuman Isotonik,164,17,672,0,24999,14999
7,Keripik,172,20,721,0,9999,9999
7,Susu Kemasan,154,12,695,1,5999,4594
7,Kopi Kemasan,189,11,397,0,19999,19999
7,Kacang,165,10,476,0,14999,14999
7,Buah-Buahan,179,13,668,0,5999,19999
7,Sayur-Sayuran,196,11,174,0,19999,19999
7,Ice Cream,174,16,424,0,14999,9999
7,Kornet,136,9,649,0,24999,9999
7,Daging Segar,184,8,775,1,14999,13103
7,Minyak Goreng,179,13,591,0,5999,14999
7,Kentang Goreng,163,7,373,1,19999,5315
7,Telur,193,9,434,0,9999,14999
7,Seafood Segar,136,18,707,1,14999,7930
7,Mentega,120,15,411,1,24999,7257
7,Krim,42,10,191,0,24999,19999
7,Bihun,113,13,536,0,19999,24999
8,Susu Bubuk,86,14,567,0,24999,14999
8,Biskuit,37,27,353,1,9999,4338
8,Sirup,29,11,796,0,14999,9999
8,Soda,53,7,699,0,14999,9999
8,Cokelat,67,21,384,1,9999,21443
8,Roti,64,15,334,0,19999,19999
8,Sereal,107,11,932,1,19999,4897
8,Mie Instan,186,8,919,0,19999,9999
8,Kopi Bubuk,165,9,350,0,14999,19999
8,Sarden Kaleng,86,5,234,0,24999,14999
8,Jus Kemasan,109,15,321,1,5999,12549
8,Buah Kering,172,21,420,0,19999,9999
8,Beras,134,19,284,1,24999,18991
8,Teh,184,23,567,1,9999,16617
8,Pasta,152,25,648,1,9999,20691
8,Mayones,180,13,542,0,24999,5999
8,Kecap,165,8,224,0,9999,9999
8,Penyedap Rasa,79,3,120,0,19999,5999
8,Saos,194,20,521,1,24999,13403
8,Garam,139,10,353,0,19999,5999
8,Gula,168,13,359,0,24999,24999
8,Kaldu Jamur,98,11,379,0,5999,24999
8,Selai,186,22,404,0,19999,5999
8,Permen,179,18,300,0,9999,19999
8,Gulali,65,5,267,0,5999,24999
8,Makaroni,162,8,679,0,24999,14999
8,Marshmallow,132,10,381,0,14999,14999
8,Kuaci,73,3,260,0,24999,5999
8,Yogurt,195,8,400,0,14999,19999
8,Keju,168,12,663,1,5999,16809
8,Nugget,175,13,791,0,19999,9999
8,Air Mineral,195,8,898,0,14999,5999
8,Minuman Isotonik,164,17,679,0,24999,9999
8,Keripik,172,20,825,1,9999,8378
8,Susu Kemasan,154,12,726,0,5999,5999
8,Kopi Kemasan,189,11,391,1,19999,21031
8,Kacang,165,10,447,1,14999,8249
8,Buah-Buahan,179,13,603,1,5999,11952
8,Sayur-Sayuran,196,11,319,0,19999,9999
8,Ice Cream,174,16,454,0,14999,5999
8,Kornet,136,9,513,1,24999,14987
8,Daging Segar,184,8,645,0,14999,24999
8,Minyak Goreng,179,13,627,0,5999,24999
8,Kentang Goreng,163,7,348,0,19999,24999
8,Telur,193,9,564,0,9999,9999
8,Seafood Segar,136,18,598,0,14999,24999
8,Mentega,120,15,387,0,24999,24999
8,Krim,42,10,201,0,24999,5999
8,Bihun,113,13,568,1,19999,8484
9,Susu Bubuk,86,14,616,0,24999,19999
9,Biskuit,37,27,389,0,9999,9999
9,Sirup,29,11,773,1,14999,4725
9,Soda,53,7,735,1,14999,8585
9,Cokelat,67,21,484,0,9999,14999
9,Roti,64,15,347,0,19999,24999
9,Sereal,107,11,911,0,19999,24999
9,Mie Instan,186,8,795,1,19999,7474
9,Kopi Bubuk,165,9,315,1,14999,21771
9,Sarden Kaleng,86,5,244,1,24999,4994
9,Jus Kemasan,109,15,299,0,5999,5999
9,Buah Kering,172,21,475,0,19999,24999
9,Beras,134,19,276,0,24999,5999
9,Teh,184,23,600,1,9999,13150
9,Pasta,152,25,874,0,9999,9999
9,Mayones,180,13,625,0,24999,24999
9,Kecap,165,8,207,0,9999,14999
9,Penyedap Rasa,79,3,117,0,19999,24999
9,Saos,194,20,473,0,24999,5999
9,Garam,139,10,317,0,19999,19999
9,Gula,168,13,474,0,24999,19999
9,Kaldu Jamur,98,11,384,0,5999,19999
9,Selai,186,22,460,0,19999,5999
9,Permen,179,18,311,1,9999,18015
9,Gulali,65,5,279,0,5999,19999
9,Makaroni,162,8,593,1,24999,11965
9,Marshmallow,132,10,367,0,14999,19999
9,Kuaci,73,3,250,0,24999,24999
9,Yogurt,195,8,365,0,14999,24999
9,Keju,168,12,677,0,5999,9999
9,Nugget,175,13,804,1,19999,4235
9,Air Mineral,195,8,964,0,14999,14999
9,Minuman Isotonik,164,17,558,1,24999,20834
9,Keripik,172,20,958,0,9999,5999
9,Susu Kemasan,154,12,710,1,5999,5244
9,Kopi Kemasan,189,11,444,1,19999,16601
9,Kacang,165,10,506,1,14999,16669
9,Buah-Buahan,179,13,606,1,5999,13105
9,Sayur-Sayuran,196,11,296,0,19999,5999
9,Ice Cream,174,16,397,0,14999,24999
9,Kornet,136,9,494,0,24999,24999
9,Daging Segar,184,8,741,0,14999,19999
9,Minyak Goreng,179,13,661,0,5999,14999
9,Kentang Goreng,163,7,384,0,19999,5999
9,Telur,193,9,389,0,9999,9999
9,Seafood Segar,136,18,686,0,14999,14999
9,Mentega,120,15,415,1,24999,8430
9,Krim,42,10,210,0,24999,24999
9,Bihun,113,13,482,1,19999,4984
10,Susu Bubuk,86,14,539,0,24999,14999
10,Biskuit,37,27,378,0,9999,24999
10,Sirup,29,11,965,0,14999,24999
10,Soda,53,7,639,1,14999,12241
10,Cokelat,67,21,427,0,9999,24999
10,Roti,64,15,304,0,19999,5999
10,Sereal,107,11,978,1,19999,18422
10,Mie Instan,186,8,643,0,19999,5999
10,Kopi Bubuk,165,9,394,1,14999,14347
10,Sarden Kaleng,86,5,257,1,24999,14172
10,Jus Kemasan,109,15,293,0,5999,24999
10,Buah Kering,172,21,429,1,19999,5151
10,Beras,134,19,303,0,24999,9999
10,Teh,184,23,538,1,9999,4483
10,Pasta,152,25,797,1,9999,16684
10,Mayones,180,13,812,1,24999,12370
10,Kecap,165,8,208,0,9999,14999
10,Penyedap Rasa,79,3,154,1,19999,4459
10,Saos,194,20,530,0,24999,9999
10,Garam,139,10,301,0,19999,24999
10,Gula,168,13,601,1,24999,12290
10,Kaldu Jamur,98,11,450,0,5999,9999
10,Selai,186,22,441,0,19999,19999
10,Permen,179,18,291,1,9999,16896
10,Gulali,65,5,291,0,5999,24999
10,Makaroni,162,8,486,1,24999,11702
10,Marshmallow,132,10,348,0,14999,24999
10,Kuaci,73,3,225,0,24999,9999
10,Yogurt,195,8,376,0,14999,9999
10,Keju,168,12,599,0,5999,19999
10,Nugget,175,13,691,0,19999,19999
10,Air Mineral,195,8,921,0,14999,5999
10,Minuman Isotonik,164,17,692,0,24999,19999
10,Keripik,172,20,923,0,9999,24999
10,Susu Kemasan,154,12,623,0,5999,9999
10,Kopi Kemasan,189,11,298,0,19999,5999
10,Kacang,165,10,454,0,14999,14999
10,Buah-Buahan,179,13,616,0,5999,24999
10,Sayur-Sayuran,196,11,287,0,19999,24999
10,Ice Cream,174,16,484,0,14999,9999
10,Kornet,136,9,604,0,24999,19999
10,Daging Segar,184,8,742,1,14999,7125
10,Minyak Goreng,179,13,544,0,5999,5999
10,Kentang Goreng,163,7,351,0,19999,14999
10,Telur,193,9,390,1,9999,8200
10,Seafood Segar,136,18,699,0,14999,14999
10,Mentega,120,15,418,0,24999,19999
10,Krim,42,10,210,0,24999,5999
10,Bihun,113,13,543,0,19999,9999
11,Susu Bubuk,86,14,538,1,24999,12869
11,Biskuit,37,27,353,0,9999,9999
11,Sirup,29,11,784,0,14999,14999
11,Soda,53,7,623,0,14999,5999
11,Cokelat,67,21,559,0,9999,24999
11,Roti,64,15,330,1,19999,19086
11,Sereal,107,11,966,1,19999,4998
11,Mie Instan,186,8,684,0,19999,19999
11,Kopi Bubuk,165,9,375,0,14999,19999
11,Sarden Kaleng,86,5,257,0,24999,19999
11,Jus Kemasan,109,15,290,0,5999,19999
11,Buah Kering,172,21,468,0,19999,14999
11,Beras,134,19,270,0,24999,9999
11,Teh,184,23,576,1,9999,20596
11,Pasta,152,25,680,0,9999,14999
11,Mayones,180,13,721,0,24999,19999
11,Kecap,165,8,201,0,9999,19999
11,Penyedap Rasa,79,3,150,0,19999,19999
11,Saos,194,20,450,1,24999,7260
11,Garam,139,10,334,0,19999,14999
11,Gula,168,13,497,0,24999,24999
11,Kaldu Jamur,98,11,382,0,5999,14999
11,Selai,186,22,441,0,19999,24999
11,Permen,179,18,361,0,9999,5999
11,Gulali,65,5,248,0,5999,9999
11,Makaroni,162,8,566,0,24999,24999
11,Marshmallow,132,10,379,1,14999,19940
11,Kuaci,73,3,216,1,24999,11626
11,Yogurt,195,8,379,0,14999,9999
11,Keju,168,12,693,1,5999,4989
11,Nugget,175,13,842,1,19999,7874
11,Air Mineral,195,8,877,0,14999,19999
11,Minuman Isotonik,164,17,735,1,24999,16547
11,Keripik,172,20,902,0,9999,5999
11,Susu Kemasan,154,12,718,0,5999,24999
11,Kopi Kemasan,189,11,362,0,19999,24999
11,Kacang,165,10,515,0,14999,5999
11,Buah-Buahan,179,13,636,1,5999,10535
11,Sayur-Sayuran,196,11,273,1,19999,19437
11,Ice Cream,174,16,464,1,14999,12483
11,Kornet,136,9,657,0,24999,14999
11,Daging Segar,184,8,596,1,14999,7041
11,Minyak Goreng,179,13,577,0,5999,19999
11,Kentang Goreng,163,7,357,0,19999,5999
11,Telur,193,9,455,0,9999,9999
11,Seafood Segar,136,18,667,1,14999,7643
11,Mentega,120,15,369,0,24999,14999
11,Krim,42,10,214,0,24999,19999
11,Bihun,113,13,579,0,19999,9999
12,Susu Bubuk,86,14,555,0,24999,5999
12,Biskuit,37,27,321,0,9999,19999
12,Sirup,29,11,753,0,14999,19999
12,Soda,53,7,643,0,14999,14999
12,Cokelat,67,21,485,0,9999,5999
12,Roti,64,15,298,0,19999,9999
12,Sereal,107,11,1030,1,19999,14214
12,Mie Instan,186,8,787,0,19999,14999
12,Kopi Bubuk,165,9,313,1,14999,7262
12,Sarden Kaleng,86,5,216,1,24999,13394
12,Jus Kemasan,109,15,287,0,5999,14999
12,Buah Kering,172,21,507,1,19999,4809
12,Beras,134,19,238,0,24999,19999
12,Teh,184,23,571,0,9999,24999
12,Pasta,152,25,642,0,9999,5999
12,Mayones,180,13,651,1,24999,13474
12,Kecap,165,8,217,1,9999,11432
12,Penyedap Rasa,79,3,154,1,19999,11063
12,Saos,194,20,428,0,24999,9999
12,Garam,139,10,259,1,19999,16982
12,Gula,168,13,425,0,24999,14999
12,Kaldu Jamur,98,11,432,1,5999,15540
12,Selai,186,22,495,0,19999,9999
12,Permen,179,18,333,0,9999,24999
12,Gulali,65,5,243,0,5999,19999
12,Makaroni,162,8,575,0,24999,14999
12,Marshmallow,132,10,369,0,14999,19999
12,Kuaci,73,3,276,0,24999,9999
12,Yogurt,195,8,426,0,14999,14999
12,Keju,168,12,667,0,5999,14999
12,Nugget,175,13,753,1,19999,21442
12,Air Mineral,195,8,883,0,14999,24999
12,Minuman Isotonik,164,17,624,0,24999,9999
12,Keripik,172,20,1008,0,9999,5999
12,Susu Kemasan,154,12,730,1,5999,15197
12,Kopi Kemasan,189,11,337,0,19999,19999
12,Kacang,165,10,477,0,14999,19999
12,Buah-Buahan,179,13,587,0,5999,5999
12,Sayur-Sayuran,196,11,268,0,19999,14999
12,Ice Cream,174,16,484,0,14999,24999
12,Kornet,136,9,596,1,24999,11277
12,Daging Segar,184,8,712,0,14999,14999
12,Minyak Goreng,179,13,441,0,5999,24999
12,Kentang Goreng,163,7,380,0,19999,24999
12,Telur,193,9,531,0,9999,9999
12,Seafood Segar,136,18,656,1,14999,4207
12,Mentega,120,15,330,1,24999,5347
12,Krim,42,10,189,0,24999,19999
12,Bihun,113,13,496,1,19999,7543
13,Susu Bubuk,86,14,526,1,24999,8688
13,Biskuit,37,27,344,1,9999,10687
13,Sirup,29,11,865,1,14999,4614
13,Soda,53,7,578,0,14999,9999
13,Cokelat,67,21,480,1,9999,13389
13,Roti,64,15,344,0,19999,19999
13,Sereal,107,11,890,1,19999,4792
13,Mie Instan,186,8,811,0,19999,14999
13,Kopi Bubuk,165,9,350,1,14999,15397
13,Sarden Kaleng,86,5,226,1,24999,4827
13,Jus Kemasan,109,15,318,0,5999,9999
13,Buah Kering,172,21,370,1,19999,4851
13,Beras,134,19,253,0,24999,9999
13,Teh,184,23,576,1,9999,5001
13,Pasta,152,25,777,0,9999,14999
13,Mayones,180,13,801,0,24999,19999
13,Kecap,165,8,222,0,9999,14999
13,Penyedap Rasa,79,3,126,0,19999,19999
13,Saos,194,20,433,1,24999,20797
13,Garam,139,10,283,1,19999,8500
13,Gula,168,13,475,0,24999,9999
13,Kaldu Jamur,98,11,357,1,5999,4668
13,Selai,186,22,429,1,19999,15805
13,Permen,179,18,340,0,9999,14999
13,Gulali,65,5,268,0,5999,9999
13,Makaroni,162,8,526,1,24999,20672
13,Marshmallow,132,10,436,1,14999,7315
13,Kuaci,73,3,253,0,24999,14999
13,Yogurt,195,8,356,0,14999,14999
13,Keju,168,12,651,0,5999,24999
13,Nugget,175,13,721,1,19999,11438
13,Air Mineral,195,8,1028,1,14999,22419
13,Minuman Isotonik,164,17,711,0,24999,24999
13,Keripik,172,20,808,0,9999,19999
